ID	CodeOrder	DateСreation	TimeOrder	id_CodeClient	Status	DateClosing	TimeRental
1	45462526/12.03.2022	12.03.22	9:10	45462526	Новая		120 минут
2	45462527/13.03.2022	13.03.22	10:10	45462527	В прокате		600 минут
3	45462528/14.03.2022	14.03.22	11:10	45462528	В прокате		2 часа
4	45462529/15.03.2022	15.03.22	12:10	45462529	Новая		10 часов
5	45462530/16.03.2022	16.03.22	13:10	45462530	Закрыта	16.04.22	320 минут
6	45462531/17.03.2022	17.03.22	14:10	45462531	Новая		480 минут
7	45462532/18.03.2022	18.03.22	15:10	45462532	Новая		4 часа
8	45462533/19.03.2022	19.03.22	16:10	45462533	В прокате		6 часов
9	45462534/20.03.2022	20.03.22	10:00	45462534	В прокате		12 часов
10	45462535/21.03.2022	21.03.22	11:00	45462535	Новая		120 минут
11	45462536/22.03.2022	22.03.22	12:00	45462536	Закрыта	22.03.22	600 минут
12	45462537/23.03.2022	23.03.22	13:00	45462537	В прокате		2 часа
13	45462538/24.03.2022	24.03.22	14:00	45462538	В прокате		10 часов
14	45462539/25.03.2022	25.03.22	15:00	45462539	В прокате		320 минут
15	45462540/26.03.2022	26.03.22	16:00	45462540	Закрыта	26.04.22	480 минут
16	45462541/27.03.2022	27.03.22	17:00	45462541	Новая		4 часа
17	45462542/28.03.2022	28.03.22	18:00	45462542	В прокате		6 часов
18	45462543/29.03.2022	29.03.22	19:00	45462543	В прокате		12 часов
19	45462544/30.03.2022	30.03.22	12:30	45462544	Новая		120 минут
20	45462545/31.03.2022	31.03.22	13:30	45462545	Новая		600 минут
21	45462546/01.04.2022	01.04.22	14:30	45462546	Закрыта	01.04.22	2 часа
22	45462547/02.04.2022	02.04.22	15:30	45462547	Новая		10 часов
23	45462548/03.04.2022	03.04.22	16:30	45462548	Новая		320 минут
24	45462549/04.04.2022	04.04.22	17:30	45462549	В прокате		480 минут
25	45462550/05.04.2022	05.04.22	18:30	45462550	В прокате		4 часа
26	45462551/06.04.2022	06.04.22	15:30	45462551	В прокате		6 часов
27	45462552/07.04.2022	07.04.22	16:30	45462552	В прокате		12 часов
28	45462553/08.04.2022	08.04.22	17:30	45462553	Закрыта	08.04.22	120 минут
29	45462554/09.04.2022	09.04.22	18:30	45462554	Новая		600 минут
30	45462555/10.04.2022	10.04.22	19:30	45462555	В прокате		2 часа
31	45462556/11.04.2022	11.04.22	10:30	45462556	В прокате		10 часов
32	45462557/12.04.2022	12.04.22	11:30	45462557	Новая		320 минут
33	45462558/13.04.2022	13.04.22	12:30	45462558	Новая		480 минут
34	45462559/14.04.2022	14.04.22	13:30	45462559	Новая		4 часа
35	45462560/15.04.2022	15.04.22	14:30	45462560	В прокате		6 часов
36	45462561/02.04.2022	02.04.22	15:30	45462561	В прокате		12 часов
37	45462562/03.04.2022	03.04.22	16:30	45462562	В прокате		120 минут
38	45462563/04.04.2022	04.04.22	17:30	45462563	Закрыта	04.04.22	600 минут
39	45462564/05.04.2022	05.04.22	10:15	45462564	В прокате		2 часа
40	45462565/06.04.2022	06.04.22	11:15	45462565	Новая		10 часов
41	45462566/07.04.2022	07.04.22	12:15	45462566	Закрыта	07.04.22	320 минут
42	45462567/08.04.2022	08.04.22	13:15	45462567	В прокате		480 минут
43	45462568/09.04.2022	09.04.22	14:15	45462568	В прокате		4 часа
44	45462569/01.04.2022	01.04.22	15:15	45462569	В прокате		6 часов
45	45462570/02.04.2022	02.04.22	16:15	45462570	В прокате		12 часов
46	45462571/03.04.2022	03.04.22	10:45	45462571	В прокате		480 минут
47	45462572/04.04.2022	04.04.22	11:45	45462572	Закрыта	04.04.22	320 минут
48	45462573/05.04.2022	05.04.22	12:45	45462573	Новая		480 минут
49	45462574/06.04.2022	06.04.22	13:45	45462574	Новая		4 часа
50	45462575/07.04.2022	07.04.22	14:45	45462575	Новая		6 часов
