idServiceOrder	Id_Order	Services
1	1	34
2	1	31
3	1	353
4	1	336
5	2	98
6	2	45
7	2	89
8	2	99
9	2	123
10	3	92
11	3	45
12	3	57
13	3	88
14	4	92
15	4	45
16	4	57
17	4	88
18	4	44
19	5	98
20	5	45
21	5	89
22	5	353
23	5	336
24	5	34
25	6	34
26	6	31
27	6	353
28	7	98
29	7	45
30	7	89
31	7	99
32	8	92
33	8	45
34	8	57
35	8	89
36	9	92
37	9	45
38	9	57
39	9	88
40	9	45
41	10	98
42	10	45
43	10	89
44	10	353
45	10	336
46	11	34
47	11	31
48	11	353
49	12	98
50	12	45
51	12	89
52	12	99
53	13	92
54	13	45
55	13	57
56	14	92
57	14	45
58	14	57
59	14	88
60	15	98
61	15	45
62	15	89
63	15	353
64	15	336
65	16	34
66	16	31
67	16	353
68	17	98
69	17	45
70	17	89
71	17	99
72	18	92
73	18	45
74	18	57
75	19	92
76	19	45
77	19	57
78	19	88
79	20	98
80	20	45
81	20	89
82	20	353
83	20	336
84	21	34
85	21	31
86	21	353
87	22	98
88	22	45
89	22	89
90	22	99
91	23	92
92	23	45
93	23	57
94	23	92
95	24	92
96	24	45
97	24	57
98	24	88
99	25	98
100	25	45
101	25	89
102	25	353
103	25	336
104	26	34
105	26	31
106	26	353
107	27	98
108	27	45
109	27	89
110	27	99
111	28	92
112	28	45
113	28	57
114	29	92
115	29	45
116	29	57
117	29	88
118	30	98
119	30	45
120	30	89
121	30	353
122	30	336
123	31	34
124	31	31
125	31	353
126	32	98
127	32	45
128	32	89
129	32	99
130	33	92
131	33	45
132	33	57
133	34	92
134	34	45
135	34	57
136	34	88
137	35	98
138	35	45
139	35	89
140	35	353
141	35	336
142	36	34
143	36	31
144	36	353
145	37	98
146	37	45
147	37	89
148	37	99
149	38	92
150	38	45
151	38	57
152	39	92
153	39	45
154	39	57
155	39	88
156	40	98
157	40	45
158	40	89
159	40	353
160	40	336
161	41	34
162	41	31
163	41	353
164	42	98
165	42	45
166	42	89
167	42	99
168	43	92
169	43	45
170	43	57
171	44	92
172	44	45
173	44	57
174	44	88
175	45	98
176	45	45
177	45	89
178	45	353
179	45	336
180	46	34
181	46	31
182	46	353
183	47	98
184	47	45
185	47	89
186	47	99
187	48	92
188	48	45
189	48	57
190	49	92
191	49	45
192	49	57
193	49	88
194	50	98
195	50	45
196	50	89
197	50	353
198	50	336
